ind,Pearson,PvalPearson,Spearman,PvalSpearman,pearson > 0.3,pearson < -0.3,spearman > 0.3,spearman < -0.3
8353,-0.040792141,0.0023523,-0.0326989,0.0147741,0,0,0,0
8354,0.000713467,0.9575898,-0.0016974,0.8993205,0,0,0,0
8355,-0.212733498,0,-0.1964027,0,0,0,0,0
8356,0.005967108,0.6564905,0.0088559,0.5091974,0,0,0,0
8357,-0.045518579,0.0006875,-0.0400958,0.0027921,0,0,0,0
8358,-0.034609369,0.0098689,-0.04032,0.0026429,0,0,0,0
8359,-0.279134864,0,-0.2840223,0,0,0,0,0
8360,0.010335861,0.4410589,0.0103791,0.4391515,0,0,0,0
8361,-0.035894919,0.007444,-0.0296136,0.0272622,0,0,0,0
8362,-0.025747455,0.0549324,-0.0414245,0.0020089,0,0,0,0
8363,-0.054975134,0.0000412,-0.0463369,0.0005491,0,0,0,0
8364,-0.038866292,0.0037555,-0.0327592,0.0145911,0,0,0,0
8365,-0.038866292,0.0037555,-0.0327592,0.0145911,0,0,0,0
8366,-0.027480146,0.0404987,-0.0231622,0.0842339,0,0,0,0
8367,-0.067342639,0.0000005,-0.0567611,0.0000229,0,0,0,0
8368,0.000713467,0.9575898,0.000613,0.9635592,0,0,0,0
8369,-0.024555397,0.0671725,-0.0193116,0.1500002,0,0,0,0
8370,-0.04973601,0.0002078,-0.052972,0.0000778,0,0,0,0
8371,-0.01487481,0.2675343,-0.01583,0.2380134,0,0,0,0
8372,0.001932304,0.8854808,0.0022841,0.8648177,0,0,0,0
8373,-0.044549446,0.0008933,-0.0695636,0.0000002,0,0,0,0
8374,-0.007666871,0.5676876,-0.0090853,0.4982856,0,0,0,0
8375,-0.012773921,0.341023,-0.0151315,0.2593647,0,0,0,0
8376,-0.007666871,0.5676876,-0.0090853,0.4982856,0,0,0,0
8377,0.022758129,0.0897909,0.0239069,0.0747227,0,0,0,0
8378,-0.006471253,0.6295635,-0.0101048,0.4513399,0,0,0,0
8379,0.001932304,0.8854808,0.0022841,0.8648177,0,0,0,0
8380,-0.009152557,0.4951111,-0.0142916,0.2867471,0,0,0,0
8381,-0.025554741,0.0567749,-0.0209138,0.1190005,0,0,0,0
8382,0.001932304,0.8854808,0.0022841,0.8648177,0,0,0,0
8383,0.001932304,0.8854808,0.0022841,0.8648177,0,0,0,0
8384,-0.026779285,0.045895,-0.0402642,0.0026793,0,0,0,0
8385,0.01305279,0.3305861,0.0139319,0.2990527,0,0,0,0
8386,-0.08961218,0,-0.1288936,0,0,0,0,0
8387,0.360278892,0,0.3107194,0,1,0,1,0
8388,-0.041708283,0.0018703,-0.0311595,0.0201767,0,0,0,0
8389,0.226520268,0,0.1634215,0,0,0,0,0
8390,0.04686956,0.0004734,0.0727834,0.0000001,0,0,0,0
8391,0.371855884,0,0.3302608,0,1,0,1,0
8392,-0.088688891,0,-0.0732823,0,0,0,0,0
8393,-0.077627317,0,-0.079735,0,0,0,0,0
8394,-0.139372056,0,-0.1168917,0,0,0,0,0
8395,-0.119584339,0,-0.0611917,0.000005,0,0,0,0
8396,-0.107595089,0,-0.0883338,0,0,0,0,0
8397,-0.085928894,0,-0.069167,0.0000002,0,0,0,0
8398,-0.346966188,0,-0.3379111,0,0,1,0,1
8399,-0.12997451,0,-0.1127136,0,0,0,0,0
8400,-0.16574125,0,-0.1480852,0,0,0,0,0
8401,-0.459973846,0,-0.3873724,0,0,1,0,1
8402,0.46028294,0,0.3913076,0,1,0,1,0
8403,-0.016582219,0.2164421,0.0246612,0.066002,0,0,0,0
8404,-0.397571529,0,-0.3355025,0,0,1,0,1
